Provincia,Barrio,Precio m2 ene 2024
Valencia,Valencia,2317
Valencia,Agullent,625
Valencia,Alaquás,1142
Valencia,Albaida,598
Valencia,Albalat Dels Tarongers,886
Valencia,Alberique,858
Valencia,Aldaia,127
Valencia,Algemesi,721
Valencia,Alginet,798
Valencia,Almarda,1808
Valencia,Almussafes,1085
Valencia,Alzira,866
Valencia,Bellreguard,1097
Valencia,Benaguasil,924
Valencia,Benetusser,1211
Valencia,Benifairo de les Valls,760
Valencia,Bétera,1813
Valencia,Bocairent,648
Valencia,Buñol,683
Valencia,Burjassot,1446
Valencia,Canals,608
Valencia,Canet d'En Berenguer,202
Valencia,Carcaixent,643
Valencia,Catarroja,1307
Valencia,Chiva,1207
Valencia,Corbera,672
Valencia,Cullera,1714
Valencia,Daimus,161
Valencia,El Perelló,1613
Valencia,El Perellonet,203
Valencia,El Saler,2488
Valencia,Estivella,651
Valencia,Favara,744
Valencia,Gandia,1202
Valencia,Gilet,1003
Valencia,Godelleta,1086
Valencia,Guardamar,1881
Valencia,L'Eliana,2067
Valencia,La Pobla de Vallbona,1338
Valencia,Les Palmeres,1298
Valencia,Llíria,1013
Valencia,Manises,135
Valencia,Massamagrell,1168
Valencia,Massanassa,1147
Valencia,Miramar,1353
Valencia,Mislata,1621
Valencia,Moncada,1473
Valencia,Monserrat,1128
Valencia,Náquera,1433
Valencia,Oliva,1315
Valencia,Ontinyent,880
Valencia,Paiporta,1389
Valencia,Paterna,1653
Valencia,Picassent,1077
Valencia,Playa de Farnals,2099
Valencia,Playa Puig,2838
Valencia,Puçol,1763
Valencia,Puerto de Sagunto,1368
Valencia,Rafelbuñol/Rafelbunyol,1246
Valencia,Requena,682
Valencia,Riba-Roja de Túria,1383
Valencia,Rocafort,2241
Valencia,Sagunto/Sagunt,1053
Valencia,San Antonio de Benagéber,1806
Valencia,Sedavi,1255
Valencia,Sollana,865
Valencia,Sueca,955
Valencia,Tavernes de la Valldigna,1048
Valencia,Torrent,1268
Valencia,Turis,971
Valencia,Vilamarxant,987
Valencia,Villalonga,715
Valencia,Villanueva de Castellon,608
Valencia,Villar del Arzobispo,686
Valencia,Xeraco,1506
Valencia,Xirivella,1306
Barcelona,Barcelona,4259
Barcelona,Arenys de Mar,2301
Barcelona,Argentona,2165
Barcelona,Badalona,2207
Barcelona,Badia del Vallès,1512
Barcelona,Barberà del Vallès,2213
Barcelona,Begues,2257
Barcelona,Berga,946
Barcelona,Bigues i Riells,153
Barcelona,Cabrera de Mar,3113
Barcelona,Cabrils,2312
Barcelona,Caldes d'Estrac,2769
Barcelona,Caldes de Montbui,18
Barcelona,Calella,2088
Barcelona,Canet de Mar,2141
Barcelona,Canovelles,1369
Barcelona,Canyelles,1548
Barcelona,Castellar del Vallès,1922
Barcelona,Castellbell i el Vilar,1199
Barcelona,Castellbisbal,1798
Barcelona,Castelldefels,3668
Barcelona,Castellet i la Gornal,1339
Barcelona,Castellgalí,1231
Barcelona,Cerdanyola del Vallès,2523
Barcelona,Cervelló,195
Barcelona,Corbera de Llobregat,1648
Barcelona,Cornellà de Llobregat,2481
Barcelona,Cubelles,2213
Barcelona,El Masnou,3178
Barcelona,El Pont de Vilomara i Rocafort,1127
Barcelona,El Prat de Llobregat,2716
Barcelona,Els Hostalets de Pierola,1218
Barcelona,Esparreguera,1764
Barcelona,Esplugues de Llobregat,3788
Barcelona,Fogars de la Selva,1402
Barcelona,Gavà,2795
Barcelona,Gironella,849
Barcelona,Granollers,2024
Barcelona,Hospitalet de Llobregat,2353
Barcelona,Hostalets de Balenyá,1381
Barcelona,Igualada,1377
Barcelona,La Garriga,2137
Barcelona,La Llagosta,1936
Barcelona,La Palma de Cervelló,1933
Barcelona,La Torre de Claramunt,1158
Barcelona,Lliçà d'Amunt,159
Barcelona,Llinars del Vallès,1737
Barcelona,Malgrat de Mar,1794
Barcelona,Manlleu,1007
Barcelona,Manresa,1236
Barcelona,Martorell,1811
Barcelona,Masquefa,1542
Barcelona,Mataró,1983
Barcelona,Mediona,1053
Barcelona,Moià,1273
Barcelona,Mollet del Vallès,2026
Barcelona,Montcada i Reixac,2103
Barcelona,Montgat,3459
Barcelona,Montmeló,2107
Barcelona,Olèrdola,1387
Barcelona,Olesa de Bonesvalls,13
Barcelona,Olesa de Montserrat,1784
Barcelona,Olivella,1498
Barcelona,Palafolls,1555
Barcelona,Palau-Solità i Plegamans,2034
Barcelona,Pallejà,2491
Barcelona,Parets del Vallès,2274
Barcelona,Piera,1355
Barcelona,Pineda de Mar,1915
Barcelona,Polinyà,212
Barcelona,Premià de Dalt,2376
Barcelona,Premiá de Mar,2437
Barcelona,Ripollet,202
Barcelona,Roda de Ter,1237
Barcelona,Rubí,1879
Barcelona,Sabadell,1944
Barcelona,Sant Adriá de Besós,2328
Barcelona,Sant Andreu de la Barca,2006
Barcelona,Sant Andreu de Llavaneres,2648
Barcelona,Sant Antoni de Vilamajor,1695
Barcelona,Sant Boi de Llobregat,226
Barcelona,Sant Cebrià de Vallalta,1711
Barcelona,Sant Celoni,1706
Barcelona,Sant Cugat del Vallès,4264
Barcelona,Sant Feliù de Codines,1495
Barcelona,Sant Fost de Campsentelles,1744
Barcelona,Sant Fruitós de Bages,1383
Barcelona,Sant Iscle de Vallalta,1618
Barcelona,Sant Joan Despí,2863
Barcelona,Sant Just Desvern,3737
Barcelona,Sant Pere de Ribes,2219
Barcelona,Sant Quirze del Vallès,2445
Barcelona,Sant Vicenç de Castellet,1307
Barcelona,Sant Vicenç de Montalt,2837
Barcelona,Sant Vicenç Dels Horts,187
Barcelona,Santa Coloma de Cervelló,2045
Barcelona,Santa Coloma de Gramenet,1984
Barcelona,Santa Margarida de Montbui,1112
Barcelona,Santa Margarida i els Monjos,1329
Barcelona,Santa Susanna,1822
Barcelona,Santpedor,124
Barcelona,Sentmenat,1717
Barcelona,Seva,1633
Barcelona,Sitges,4534
Barcelona,Teià,2726
Barcelona,Terrassa,1866
Barcelona,Tona,1861
Barcelona,Tordera,1378
Barcelona,Torelló,1173
Barcelona,Torrelles de Foix,112
Barcelona,Vacarisses,1746
Barcelona,Vallirana,155
Barcelona,Vallromanes,2043
Barcelona,Vic,2002
Barcelona,Viladecans,2461
Barcelona,Vilafranca del Penedès,176
Barcelona,Vilanova del Camí,1148
Barcelona,Vilanova del Vallès,1824
Barcelona,Vilanova i la Geltrú,251
Barcelona,Vilassar de Mar,3219
Madrid,Madrid,419
Madrid,Ajalvir,2302
Madrid,Alcalá de Henares,2084
Madrid,Alcobendas,2753
Madrid,Alcorcón,2354
Madrid,Algete,1778
Madrid,Alpedrete,2118
Madrid,Aranjuez,1593
Madrid,Arganda,186
Madrid,Arroyomolinos,1978
Madrid,Boadilla del Monte,2921
Madrid,Camarma de Esteruelas,1433
Madrid,Campo Real,1599
Madrid,Cercedilla,1853
Madrid,Ciempozuelos,136
Madrid,Ciudalcampo,304
Madrid,Cobeña,2346
Madrid,Collado Mediano,1731
Madrid,Collado Villalba,2099
Madrid,Colmenar de Oreja,848
Madrid,Colmenar Viejo,2216
Madrid,Colmenarejo,2111
Madrid,Coslada,2307
Madrid,Cubas de la Sagra,1465
Madrid,El Álamo,1517
Madrid,El Boalo,2008
Madrid,El Escorial,1984
Madrid,Eurovillas,135
Madrid,Fuenlabrada,1995
Madrid,Fuente del Fresno,2595
Madrid,Galapagar,1998
Madrid,Getafe,2284
Madrid,Griñón,1574
Madrid,Guadalix de la Sierra,1738
Madrid,Guadarrama,201
Madrid,Hoyo de Manzanares,2185
Madrid,Humanes de Madrid,1789
Madrid,La Moraleja,5348
Madrid,Las Rozas de Madrid,3235
Madrid,Leganés,2171
Madrid,Loeches,1872
Madrid,Los Hueros,2078
Madrid,Los Santos de la Humosa,1445
Madrid,Majadahonda,3612
Madrid,Manzanares el Real,188
Madrid,Mejorada del Campo,1818
Madrid,Miraflores de la Sierra,1739
Madrid,Moralzarzal,2243
Madrid,Móstoles,199
Madrid,Navalcarnero,1696
Madrid,Paracuellos de Jarama,2325
Madrid,Parla,1595
Madrid,Pedrezuela,1646
Madrid,Pinto,2087
Madrid,Pozuelo de Alarcón,3784
Madrid,Rivas-Vaciamadrid,2475
Madrid,Robledo de Chavela,1167
Madrid,San Fernando de Henares,2185
Madrid,San Lorenzo de el Escorial,2307
Madrid,San Martín de la Vega,1413
Madrid,San Martín de Valdeiglesias,1109
Madrid,San Sebastián de los Reyes,2791
Madrid,Soto del Real,1967
Madrid,Torrejón de Ardoz,2062
Madrid,Torrejón de la Calzada,1411
Madrid,Torrelaguna,115
Madrid,Torrelodones,2469
Madrid,Tres Cantos,3197
Madrid,Valdemorillo,2018
Madrid,Valdemoro,1852
Madrid,Valdeolmos-Alalpardo,185
Madrid,Velilla de San Antonio,179
Madrid,Villalbilla,1606
Madrid,Villanueva de la Cañada,2382
Madrid,Villanueva del Pardillo,2498
Madrid,Villaviciosa de Odón,2369
